Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
Overview of business innovations and research opportunities in blockchain and introduction to the special issue;Financial Innovation;;2;1;10.1186/s40854-016-0049-2;J. Leon ZhaoShaokun FanJiaqi Yan;2016;http://link.springer.com/article/10.1186/s40854-016-0049-2;Article
PPAP, Ericcson / Omron / Inteva, Supreme Treon / Mahindra Reva Electric / Comsol, NI / Integer, iCAT;Auto Tech Review;;5;11;10.1365/s40112-016-1230-8;;2016;http://link.springer.com/article/10.1365/s40112-016-1230-8;Article
Paper-based magnetics: matching paper with permalloy;Cellulose;;23;5;10.1007/s10570-016-1019-6;Meriem AkinMatthew SteggemanLutz Rissing;2016;http://link.springer.com/article/10.1007/s10570-016-1019-6;Article
Participative marketing: extending social media marketing through the identification and interaction capabilities from the Internet of things;Personal and Ubiquitous Computing;;18;4;10.1007/s00779-013-0714-7;Antonio J. JaraMaría Concepción ParraAntonio F. Skarmeta;2014;http://link.springer.com/article/10.1007/s00779-013-0714-7;Article
Passive secret disclosure attack on an ultralightweight authentication protocol for Internet of Things;The Journal of Supercomputing;;73;8;10.1007/s11227-017-1959-0;Masoumeh SafkhaniNasour Bagheri;2017;http://link.springer.com/article/10.1007/s11227-017-1959-0;Article
Patient-centered activity monitoring in the self-management of chronic health conditions;BMC Medicine;;13;1;10.1186/s12916-015-0319-2;Emil ChiauzziCarlos RodartePronabesh DasMahapatra;2015;http://link.springer.com/article/10.1186/s12916-015-0319-2;Article
Peer-to-peer as an infrastructure service;Peer-to-Peer Networking and Applications;;7;4;10.1007/s12083-014-0252-8;Jiangchuan LiuKe XuYongqiang XiongDongchao MaKai Shuang;2014;http://link.springer.com/article/10.1007/s12083-014-0252-8;Article
Performance analysis of data intensive cloud systems based on data management and replication: a survey;Distributed and Parallel Databases;;34;2;10.1007/s10619-015-7173-2;Saif Ur Rehman MalikSamee U. KhanSam J. EwenNikos TziritasJoanna KolodziejAlbert Y. ZomayaSajjad A. MadaniNasro Min-AllahLizhe WangCheng-Zhong XuQutaibah Marwan MalluhiJohnatan E. PeceroPavan BalajiAbhinav VishnuRajiv RanjanSherali Zeadally;2016;http://link.springer.com/article/10.1007/s10619-015-7173-2;Article
Performance evaluation of waste electrical and electronic equipment disassembly layout configurations using simulation;Frontiers of Environmental Science & Engineering;;11;5;10.1007/s11783-017-0992-9;Ozan CaprazOlcay PolatAskiner Gungor;2017;http://link.springer.com/article/10.1007/s11783-017-0992-9;Article
Personal control of privacy and data: Estonian experience;Health and Technology;;7;4;10.1007/s12553-017-0195-1;Jaan PriisaluRain Ottis;2017;http://link.springer.com/article/10.1007/s12553-017-0195-1;Article
Personal data: how context shapes consumers’ data sharing with organizations from various sectors;Electronic Markets;;25;2;10.1007/s12525-015-0183-0;Bjoern RoeberOlaf RehseRobert KnorrekBenjamin Thomsen;2015;http://link.springer.com/article/10.1007/s12525-015-0183-0;Article
Place branding strategies in the context of new smart cities: Songdo IBD, Masdar and Skolkovo;Place Branding and Public Diplomacy;;14;2;10.1057/s41254-017-0078-2;Olga KolotouchkinaGildo Seisdedos;2018;http://link.springer.com/article/10.1057/s41254-017-0078-2;Article
Placing Humans in the Feedback Loop of Social Infrastructures;Informatik-Spektrum;;36;6;10.1007/s00287-013-0735-7;Günter MüllerWolfgang Wahlster;2013;http://link.springer.com/article/10.1007/s00287-013-0735-7;Article
Playfulness, ideology and the technology of foolishness in the creation of a novel market niche for distributed control: The case of iPLON;Journal of Organization Design;;5;1;10.1186/s41469-016-0008-4;Annachiara CasaliniGuido FiorettiAndreas Pyka;2016;http://link.springer.com/article/10.1186/s41469-016-0008-4;Article
Political and social trends in the future of global security. A meta-study on official perspectives in Europe and North America;European Journal of Futures Research;;5;1;10.1007/s40309-017-0120-x;Javier Jordan;2017;http://link.springer.com/article/10.1007/s40309-017-0120-x;Article
Potentials of additive manufacturing with smart materials for chemical biomarkers in wearable applications;International Journal of Precision Engineering and Manufacturing-Green Technology;;4;3;10.1007/s40684-017-0039-5;JuYoun KwonHyung Wook ParkYoung-Bin ParkNamhun Kim;2017;http://link.springer.com/article/10.1007/s40684-017-0039-5;Article
Predictive maintenance: strategic use of IT in manufacturing organizations;Information Systems Frontiers;;;;10.1007/s10796-017-9749-z;Salvatore T. MarchGary D. Scudder;2017;http://link.springer.com/article/10.1007/s10796-017-9749-z;Article
Preface to the special issue on ubiquitous user modeling and user-adapted interaction;User Modeling and User-Adapted Interaction;;25;3;10.1007/s11257-015-9163-5;Tsvi KuflikJudy KayAaron Quigley;2015;http://link.springer.com/article/10.1007/s11257-015-9163-5;Article
Preface;Journal of Computer Science and Technology;;29;4;10.1007/s11390-014-1448-3;Ke LiuZhi-Yong Liu;2014;http://link.springer.com/article/10.1007/s11390-014-1448-3;Article
Presenting Cloud Business Performance for Manufacturing Organizations;Information Systems Frontiers;;;;10.1007/s10796-017-9798-3;Victor Chang;2017;http://link.springer.com/article/10.1007/s10796-017-9798-3;Article
Preserving privacy in internet of things: a survey;International Journal of Information Technology;;10;2;10.1007/s41870-018-0113-4;Adnan Ahmed Abi SenFathy Albouraey EassaKamal JambiMohammad Yamin;2018;http://link.springer.com/article/10.1007/s41870-018-0113-4;Article
Privacy online: up, close and personal;Health and Technology;;7;4;10.1007/s12553-017-0197-z;Eneken Tikk;2017;http://link.springer.com/article/10.1007/s12553-017-0197-z;Article
Privacy-Preserving Public Auditing for Non-manager Group Shared Data;Wireless Personal Communications;;;;10.1007/s11277-018-5634-4;Longxia HuangGongxuan ZhangAnmin Fu;2018;http://link.springer.com/article/10.1007/s11277-018-5634-4;Article
Privacy-preserving blockchain-based electric vehicle charging with dynamic tariff decisions;Computer Science - Research and Development;;33;01/fev;10.1007/s00450-017-0348-5;Fabian KnirschAndreas UnterwegerDominik Engel;2018;http://link.springer.com/article/10.1007/s00450-017-0348-5;Article
Privacy-preserving identity-based file sharing in smart city;Personal and Ubiquitous Computing;;21;5;10.1007/s00779-017-1051-z;Xiling LuoYili RenJiankun HuQianhong WuJungang Lou;2017;http://link.springer.com/article/10.1007/s00779-017-1051-z;Article
ProMeTA: a taxonomy for program metamodels in program reverse engineering;Empirical Software Engineering;;;;10.1007/s10664-017-9592-3;Hironori WashizakiYann-Gaël GuéhéneucFoutse Khomh;2018;http://link.springer.com/article/10.1007/s10664-017-9592-3;Article
Process analytics in science and industry;Analytical and Bioanalytical Chemistry;;409;3;10.1007/s00216-016-0104-x;Rudolf W. Kessler;2017;http://link.springer.com/article/10.1007/s00216-016-0104-x;Article
Product-Centric Simulation-Based Design for Recycling: Case of LED Lamp Recycling;Journal of Sustainable Metallurgy;;1;1;10.1007/s40831-014-0006-0;M. A. ReuterA. van Schaik;2015;http://link.springer.com/article/10.1007/s40831-014-0006-0;Article
Proposal, project, practice, pause: Developing a framework for evaluating smart domestic product engagement;AMS Review;;;;10.1007/s13162-017-0089-4;Tony WoodallJulie RosboroughJohn Harvey;2017;http://link.springer.com/article/10.1007/s13162-017-0089-4;Article
Provably secure biometric based authentication and key agreement protocol for wireless sensor networks;Journal of Ambient Intelligence and Humanized Computing;;;;10.1007/s12652-017-0474-8;Jangirala SrinivasDheerendra MishraSourav MukhopadhyaySaru Kumari;2017;http://link.springer.com/article/10.1007/s12652-017-0474-8;Article
Proving ground for social network analysis in the emerging research area “Internet of Things” (IoT);Scientometrics;;109;1;10.1007/s11192-016-1931-4;Arif MehmoodGyu Sang ChoiOtto F. von FeigenblattHan Woo Park;2016;http://link.springer.com/article/10.1007/s11192-016-1931-4;Article
Public IT service strategy for social information security in the intelligence all-things environment;Electronic Commerce Research;;14;3;10.1007/s10660-014-9155-2;Jinho YooHangbae Chang;2014;http://link.springer.com/article/10.1007/s10660-014-9155-2;Article
Quality characteristics and measures for human–computer interaction evaluation in ubiquitous systems;Software Quality Journal;;25;3;10.1007/s11219-016-9320-z;Rainara Maia CarvalhoRossana Maria de Castro AndradeKáthia Marçal de OliveiraIsmayle de Sousa SantosCarla Ilane Moreira Bezerra;2017;http://link.springer.com/article/10.1007/s11219-016-9320-z;Article
Quality of service optimization in solar cells-based energy harvesting wireless sensor networks;Energy Efficiency;;10;2;10.1007/s12053-016-9458-3;Soledad EscolarStefano ChessaJesús Carretero;2017;http://link.springer.com/article/10.1007/s12053-016-9458-3;Article
RETRACTED ARTICLE: An approach to evaluate the effects of virtual topology on in-band crosstalk attack propagation in transparent optical networks;Photonic Network Communications;;24;2;10.1007/s11107-011-0362-7;Yonghua XiaoYunfeng PengZeyu SunChangming ZhaoKeping Long;2012;http://link.springer.com/article/10.1007/s11107-011-0362-7;Article
RFID in production and service systems: Technology, applications and issues;Information Systems Frontiers;;17;6;10.1007/s10796-014-9518-1;Nilgun Fescioglu-UnverSung Hee ChoiDongmok SheenSoundar Kumara;2015;http://link.springer.com/article/10.1007/s10796-014-9518-1;Article
Radiofrequency Identification and Surface Acoustic Wave Technologies for Developing the Food Intelligent Packaging Concept;Food Engineering Reviews;;7;1;10.1007/s12393-014-9102-y;Antonio López-GómezFernando Cerdán-CartagenaJuan Suardíaz-MuroMaría Boluda-AguilarMaría Esther Hernández-HernándezMaría Angeles López-SerranoJuan López-Coronado;2015;http://link.springer.com/article/10.1007/s12393-014-9102-y;Article
Real-time data-driven monitoring in job-shop floor based on radio frequency identification;The International Journal of Advanced Manufacturing Technology;;92;05/ago;10.1007/s00170-017-0248-7;Wei CaoPingyu JiangPing LuBin LiuKaiyong Jiang;2017;http://link.springer.com/article/10.1007/s00170-017-0248-7;Article
Real-time grouting monitoring and visualization analysis system for dam foundation curtain grouting;Transactions of Tianjin University;;22;6;10.1007/s12209-016-2794-8;Guichao Fan ???Denghua Zhong ???Bingyu Ren ???Bo Cui ? ?Xiaochao Li ???Pan Yue ? ?;2016;http://link.springer.com/article/10.1007/s12209-016-2794-8;Article
Realising next-generation web service-driven industrial systems;The International Journal of Advanced Manufacturing Technology;;60;01/abr;10.1007/s00170-011-3612-z;Stamatis Karnouskos;2012;http://link.springer.com/article/10.1007/s00170-011-3612-z;Article
Realising the right to data portability for the domestic Internet of things;Personal and Ubiquitous Computing;;22;2;10.1007/s00779-017-1069-2;Lachlan UrquhartNeelima SailajaDerek McAuley;2018;http://link.springer.com/article/10.1007/s00779-017-1069-2;Article
Recent progress in low temperature nanoimprint lithography;Microsystem Technologies;;21;1;10.1007/s00542-014-2366-6;Hongwen Sun;2015;http://link.springer.com/article/10.1007/s00542-014-2366-6;Article
Recharging versus replacing sensor nodes using mobile robots for network maintenance;Telecommunication Systems;;63;4;10.1007/s11235-016-0145-7;Leonardo MilitanoMilan ErdeljAntonella MolinaroNathalie MittonAntonio Iera;2016;http://link.springer.com/article/10.1007/s11235-016-0145-7;Article
Reconfigurable manufacturing systems: journey and the road ahead;International Journal of System Assurance Engineering and Management;;8;2;10.1007/s13198-017-0610-z;Ashutosh SinghShashank GuptaMohammad AsjadPiyush Gupta;2017;http://link.springer.com/article/10.1007/s13198-017-0610-z;Article
Reducing Power Consumption of Wireless Networks Through Collaborative DMC Mobile Clusters;Wireless Personal Communications;;98;2;10.1007/s11277-017-4944-2;Arash OstovarZheng Chang;2018;http://link.springer.com/article/10.1007/s11277-017-4944-2;Article
Reflections on customer-based brand equity: perspectives, progress, and priorities;AMS Review;;6;01/fev;10.1007/s13162-016-0078-z;Kevin Lane Keller;2016;http://link.springer.com/article/10.1007/s13162-016-0078-z;Article
Reflections on networks, human behaviour, and social dynamics in the digital age;AI & SOCIETY;;33;2;10.1007/s00146-017-0704-9;Theodore TsekerisCharalambos TsekerisIoannis Katerelos;2018;http://link.springer.com/article/10.1007/s00146-017-0704-9;Article
Regulation of Big Data: Perspectives on strategy, policy, law and privacy;Health and Technology;;7;4;10.1007/s12553-017-0190-6;Pompeu CasanovasLouis De KokerDanuta MendelsonDavid Watts;2017;http://link.springer.com/article/10.1007/s12553-017-0190-6;Article
Relay selection for secure 5G green communications;Telecommunication Systems;;59;1;10.1007/s11235-014-9890-7;Nikolaos NomikosAna NietoProdromos MakrisDimitrios N. SkoutasDemosthenes VouyioukasPanagiotis RizomiliotisJavier LopezCharalambos Skianis;2015;http://link.springer.com/article/10.1007/s11235-014-9890-7;Article
